counter,Session.ID,FailingMethod,Question.ID,Answer.duration_seconds,Answer.timestamp,Answer.confidence,Answer.difficulty,TP,TN,FN,FP,Answer.option,Answer.order,Answer.explanation,Code.LOC,Code.complexity,Worker.ID,Worker.score,Worker.profession,Worker.yearsOfExperience,Worker.age,Worker.gender,Worker.whereLearnedToCode,Worker.country,Worker.programmingLanguage
59,15aE0g2a-138,HIT02_24,11,73.816,Wed 2015 Jul 08 19:28:17.20,5,1,0,1,0,0,NO,3,the reason for the bug is improperly using value after sanitizing it in the variable v ... and this is why you use proper variable names instead of being insane and lazy!,1,3,1194GI0G8E7-20,5,Professional_Developer,20,25,Male,High School;University;Other found a book,USA,C++
60,13aG-6I-3I-3-2-1,HIT02_24,11,69.368,Thu 2015 Jul 09 03:51:46.93,4,4,0,0,0,1,YES,2,first we need to convert to rgb,1,3,1343cA-3i-4c068,3,Professional_Developer,3,33,Male,University,india,perl
61,40GG1e1A-5-42,HIT02_24,10,177.102,Tue 2015 Jul 07 08:25:16.95,0,2,0,0,0,0,IDK,1,It's not clear if the program was meant to accept a negative number.  I can't answer the question without seeing the definition of this.lowerBound and this.upperBound.,1,1,23EE-1c8E1-7-2:16eA-3g-9A-7-5-3,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
62,38ae9a-2G-80-4,HIT02_24,10,1074.931,Tue 2015 Jul 07 08:48:31.26,4,3,0,0,0,1,YES,1,g has to be 0-255. But you are passing in -0.5. I don't know the specifics of the lowerbound and upperbound on the min and max as I am not a Java class expert; but I reckon g comes out negative once the calculation plays out.,1,1,27Ei-8i0A-3-59:15cG-7i7C996,3,Professional_Developer,23,44,Male,High School;University,USA,RPG; Visual Basic
63,36aa-2A-9a8-43,HIT02_24,10,226.92,Tue 2015 Jul 07 08:50:10.40,3,3,0,1,0,0,NO,1,This does not appear to be an issue because a double is the default data type for decimals so this shouldn't be what is causing the error.,1,1,358ig-7C7C5-1-2:10EI0c-3A0-3-9,5,Professional_Developer,5,32,Male,University,USA,SQL
67,30Cg4i-6C-3-52,HIT02_24,10,9112.97,Tue 2015 Jul 07 12:54:05.45,5,2,0,0,0,1,YES,1,"The variable ""value"" is incorrectly used on line 117; where the variable ""v"" should be used in its place. The variable ""value"" can exist beyond the range of ""this.lowerBound"" and ""this.upperBound"" and is causing this error.",1,1,815aA-9g-4e44-8:182Ae3g-6i-30-5,5,Professional_Developer,5,29,Male,University;Other On the job,USA,Python; SQL; Java
68,26EA-1i6G920,HIT02_24,10,156.707,Tue 2015 Jul 07 13:23:24.14,2,3,0,0,0,1,YES,1,there is an issue with colors in that programme ,1,1,1535eC4G4g-8-85:827Ca-4g2e-90-5,5,Professional_Developer,1,25,Male,University,India,JAVA
73,32aA0c6c1-9-1,HIT02_24,10,105.015,Wed 2015 Jul 08 07:30:02.35,5,3,0,0,0,1,YES,1,Nothing in this method checks that the lower range of value is positive -- therefore a negative number is not sanitized.,1,1,114eE1e0a9-5-8:820Ie-3c1C-85-5,5,Professional_Developer,10,33,Male,High School;University,USA,C#
75,26EA-1i6G920,HIT02_24,10,230.524,Wed 2015 Jul 08 09:45:11.36,3,2,0,0,0,1,YES,1,The argument value is checked against the lowerBound and upperBound variables; but the resulting variable v is never used in the code. Therefore; the value being -0.5 in this case results in a negative integer value; which is outside the expected 0 to 255 range for a color.,1,1,881AC0I2E-625:135cI3E-7e8-86,5,Professional_Developer,7,24,Male,High School;University;Web,United States,C++;Java;PHP
76,28ae-7i-8E-28-8,HIT02_24,10,1883.331,Wed 2015 Jul 08 10:26:54.47,4,4,0,0,0,1,YES,1,There is a problem with the argument  public class IllegalArgumentException extends RuntimeException thrown when a method is passed an illegal or inappropriate argument.,1,1,892CA6a-8c802:759GA-8a-5a-285,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
78,20GI-5i-1I-1-47,HIT02_24,10,88.588,Wed 2015 Jul 08 13:23:06.25,4,5,0,0,0,1,YES,1,You are calling the Color constructor with three float parameters so the values are allowed to be between 0.0 and 1.0.,1,1,830gA-8i-9I517,5,Professional_Developer,6,26,Male,University,india,java
81,40GG1e1A-5-42,HIT02_24,14,96.114,Tue 2015 Jul 07 08:26:53.07,4,2,0,0,0,1,YES,2,The exception is coming from Color; so it must be g that has a bad value.  I need to see the definition of this.lowerBound and this.upperBound to know what is wrong though.,1,1,23EE-1c8E1-7-2:16eA-3g-9A-7-5-3,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
82,36aa-2A-9a8-43,HIT02_24,14,74.804,Tue 2015 Jul 07 08:51:25.20,3,3,0,0,0,1,YES,2,I'm not sure if this is the issue but the fact that int g is being defined by (int) could be causing some kind of parameter error.,1,1,358ig-7C7C5-1-2:10EI0c-3A0-3-9,5,Professional_Developer,5,32,Male,University,USA,SQL
83,38ae9a-2G-80-4,HIT02_24,14,247.533,Tue 2015 Jul 07 08:52:38.79,4,3,0,0,0,1,YES,2,The calculation of g appears to result in a negative integer value if the parameter value is negative to begin with. Passing a negative g into Color would produce the error and there is nothing in the definition of g that seeks to prevent that. And the calculation certainly looks like it would come out negative in that scenario. Again without understanding the relevance of lowerbound and upperbound; I cannot be 100 percent certain; as a caveat.,1,1,27Ei-8i0A-3-59:15cG-7i7C996,3,Professional_Developer,23,44,Male,High School;University,USA,RPG; Visual Basic
87,30Cg4i-6C-3-52,HIT02_24,14,99.835,Tue 2015 Jul 07 12:55:45.29,5,1,0,1,0,0,NO,2,"While the variable ""g"" may be out of range when passed to the Color constructor; it is being used correctly in this context. The problem is the use of the variable ""value"" which is used to assign a value to ""g"".",1,1,815aA-9g-4e44-8:182Ae3g-6i-30-5,5,Professional_Developer,5,29,Male,University;Other On the job,USA,Python; SQL; Java
88,26EA-1i6G920,HIT02_24,14,30.739,Tue 2015 Jul 07 13:23:54.88,3,3,0,0,0,1,YES,2,i believe that some error there in that line ,1,1,1535eC4G4g-8-85:827Ca-4g2e-90-5,5,Professional_Developer,1,25,Male,University,India,JAVA
93,32aA0c6c1-9-1,HIT02_24,14,54.33,Wed 2015 Jul 08 07:30:56.68,5,2,0,1,0,0,NO,2,There is nothing wrong with 'g' if you correctly sanitize 'value',1,1,114eE1e0a9-5-8:820Ie-3c1C-85-5,5,Professional_Developer,10,33,Male,High School;University,USA,C#
95,26EA-1i6G920,HIT02_24,14,58.673,Wed 2015 Jul 08 09:46:10.04,4,2,0,1,0,0,NO,2,g is an integer; which is acceptable when creating a new Color object; as the arguments require integers.,1,1,881AC0I2E-625:135cI3E-7e8-86,5,Professional_Developer,7,24,Male,High School;University;Web,United States,C++;Java;PHP
96,28ae-7i-8E-28-8,HIT02_24,14,252.02,Wed 2015 Jul 08 10:31:06.49,4,4,0,0,0,1,YES,2,public class IllegalArgumentException extends RuntimeException thrown when a method is passed an illegal or inappropriate argument.    Methods inherited from class java.lang.Throwable  getCause; getLocalizedMessage; getMessage; initCause; printStackTrace; printStackTrace; printStackTrace; toString  ,1,1,892CA6a-8c802:759GA-8a-5a-285,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
98,20GI-5i-1I-1-47,HIT02_24,14,26.055,Wed 2015 Jul 08 13:23:32.31,4,5,0,1,0,0,NO,2,no there is no issue.,1,1,830gA-8i-9I517,5,Professional_Developer,6,26,Male,University,india,java
101,40GG1e1A-5-42,HIT02_24,12,90.882,Tue 2015 Jul 07 08:28:23.95,5,1,0,1,0,0,NO,3,This line looks fine; but I now see the issue is that 'v' is never used to determine the value for 'g',1,3,23EE-1c8E1-7-2:16eA-3g-9A-7-5-3,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
102,36aa-2A-9a8-43,HIT02_24,12,49.678,Tue 2015 Jul 07 08:52:14.88,3,3,0,1,0,0,NO,3,It looks to me that this line is correctly defining the maximum value for the variable and I don't see how that would be causing the error above.,1,3,358ig-7C7C5-1-2:10EI0c-3A0-3-9,5,Professional_Developer,5,32,Male,University,USA,SQL
103,38ae9a-2G-80-4,HIT02_24,12,337.624,Tue 2015 Jul 07 08:58:16.42,0,4,0,0,0,0,IDK,3,I don't know the lowerbound method to be able to comment on this one. If it does not a double like value; that would possibly cause an issue. I am not a Java expert but possibly needs a NEW keyword.,1,3,27Ei-8i0A-3-59:15cG-7i7C996,3,Professional_Developer,23,44,Male,High School;University,USA,RPG; Visual Basic
107,30Cg4i-6C-3-52,HIT02_24,12,71.854,Tue 2015 Jul 07 12:56:57.14,5,1,0,1,0,0,NO,3,"The ""Math.max"" method is being used correctly in this context. The variable ""v"" that the value gets assigned to is never used in this method; so there is no way ""Math.max"" could be the problem.",1,3,815aA-9g-4e44-8:182Ae3g-6i-30-5,5,Professional_Developer,5,29,Male,University;Other On the job,USA,Python; SQL; Java
108,26EA-1i6G920,HIT02_24,12,34.038,Tue 2015 Jul 07 13:24:28.92,2,3,0,0,0,1,YES,3,the class is invalid in that,1,3,1535eC4G4g-8-85:827Ca-4g2e-90-5,5,Professional_Developer,1,25,Male,University,India,JAVA
112,32aA0c6c1-9-1,HIT02_24,12,65.48,Wed 2015 Jul 08 07:32:02.16,3,2,0,0,0,1,YES,3,You might consider getting the absolute value of 'value' before calling max.  As it stands now; line 115 can still evaluate to a negative number.,1,3,114eE1e0a9-5-8:820Ie-3c1C-85-5,5,Professional_Developer,10,33,Male,High School;University,USA,C#
114,26EA-1i6G920,HIT02_24,12,57.447,Wed 2015 Jul 08 09:47:07.48,4,2,0,1,0,0,NO,3,This method simply returns the higher of the two arguments. However; the variable the return value is assigned to is never used.,1,3,881AC0I2E-625:135cI3E-7e8-86,5,Professional_Developer,7,24,Male,High School;University;Web,United States,C++;Java;PHP
115,28ae-7i-8E-28-8,HIT02_24,12,226.31,Wed 2015 Jul 08 10:34:52.80,3,3,0,1,0,0,NO,3,The calculation method invocation was correct; but the way of defining public class IllegalArgumentException impacts here.,1,3,892CA6a-8c802:759GA-8a-5a-285,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
117,20GI-5i-1I-1-47,HIT02_24,12,74.398,Wed 2015 Jul 08 13:24:46.71,3,5,0,1,0,0,NO,3,no there is no issue.,1,3,830gA-8i-9I517,5,Professional_Developer,6,26,Male,University,india,java
120,12AA-8e5c5-29,HIT02_24,12,52.15,Fri 2015 Jul 10 11:30:23.87,4,3,0,0,0,1,YES,1,class; interface errors are occurred.,1,3,1422ae-2e6E041,5,Professional_Developer,3.5,26,Male,University,india,java;tera data
122,427ag7A-4C57-9,HIT01_8,7,228.156,Tue 2015 Jul 07 09:08:33.05,3,5,0,1,0,0,NO,1,This is just testing,5,1,139ga6a-3G761,5,Professional_Developer,4,25,Male,University,India,JAVA
124,431Ei4C0g-1-85,HIT01_8,7,935.235,Tue 2015 Jul 07 09:14:58.97,5,2,0,0,0,1,YES,1,The code will never reach line 285 in this case as the minutesOffset in this case is -15. Line 279 will check for the value of minutesOffset and throw a java.lang.IllegalArgumentException as you have received. ,5,1,94CA2E-8e-485:14aa-9a8A-9-86,5,Professional_Developer,15,45,Male,High School;University;Web,USA,HTML; CSS
127,415ee-3c0E9-7-8,HIT01_8,7,448.722,Tue 2015 Jul 07 09:57:21.10,5,2,0,1,0,0,NO,1,"The exception with the message ""Minutes out of range:"" is thrown at line 280 when a negative integer is passed for the minutesOffset argument. -15 was passed; so that is where the exception is occurring.",5,1,21Ig2A-5e0-88:292CE-5a2c86-4:60ei9e-5I04-3,4,Professional_Developer,12,27,Male,High School;University;Web,United States,C#; Python
129,403ac-2E6e-871,HIT01_8,7,249.623,Tue 2015 Jul 07 11:47:55.11,5,3,0,1,0,0,NO,1,The exception got thrown at line 280 because the minutesOffset sent to the method was less than 0.,5,1,9gG8A-6g-1-55:601eI7I-3a-5-5-6,4,Professional_Developer,5,30,Male,University,United States,C#
132,427ag7A-4C57-9,HIT01_8,7,742.928,Fri 2015 Jul 10 12:38:07.36,4,3,0,1,0,0,NO,1,The variable minutesOffset is checked for any negative value.If so it is adjusted with hourInminutes.So that value may not be in out of range.,5,1,1473AA6C1c-25-6,4,Professional_Developer,9,33,Female,University,india,PHP
136,411ae-5e1i-426,HIT01_8,7,572.287,Fri 2015 Jul 10 13:32:53.77,4,3,0,0,0,1,YES,1,value for time parameters should not be negative;there's time mentioned in negative which is out of range for language,5,1,1535eC4G4g-8-85:827Ca-4g2e-90-5,5,Professional_Developer,1,25,Male,University,India,JAVA
137,407II-7a-6A302,HIT01_8,7,301.832,Fri 2015 Jul 10 14:05:39.00,4,3,0,1,0,0,NO,1,"The lines 279 to 281 is throwing the exception message  i.e.   if (minutesOffset < 0 || minutesOffset > 59) {              throw new IllegalArgumentException(""Minutes out of range: "" + minutesOffset);          }",5,1,1559gE-3I4e-4-52,4,Professional_Developer,7,32,Female,University,USA,C;C++;Java
140,395ag-2e4g-8-28,HIT01_8,7,109.317,Fri 2015 Jul 10 14:42:46.79,5,1,0,1,0,0,NO,1,The IllegalArgumentException gets thrown before line 285.,5,1,1592Eg1I-7A9-5-4,5,Professional_Developer,12,30,Male,High School;University;Web,United States,Java
142,427ag7A-4C57-9,HIT01_8,3,80.128,Tue 2015 Jul 07 09:09:53.17,5,2,0,1,0,0,NO,2,hour range is 0 to 23 both positive and negative and a valid check,3,1,139ga6a-3G761,5,Professional_Developer,4,25,Male,University,India,JAVA
144,431Ei4C0g-1-85,HIT01_8,3,131.033,Tue 2015 Jul 07 09:17:10.00,5,1,0,1,0,0,NO,2,No issue on 276 to 278. The error will happen on line 279 when a check for minutesOffset is done. At this point an IllegalArgumentException will be thrown on line 280. ,3,1,94CA2E-8e-485:14aa-9a8A-9-86,5,Professional_Developer,15,45,Male,High School;University;Web,USA,HTML; CSS
147,415ee-3c0E9-7-8,HIT01_8,3,106.39,Tue 2015 Jul 07 09:59:07.49,5,2,0,1,0,0,NO,2,The if statement in line 276 allows a negative hourOffset to -23; so a -2 hourOffset that was passed would be acceptable. The exception is thrown at line 280; where the minuteOffset is evaluated.,3,1,21Ig2A-5e0-88:292CE-5a2c86-4:60ei9e-5I04-3,4,Professional_Developer,12,27,Male,High School;University;Web,United States,C#; Python
149,403ac-2E6e-871,HIT01_8,3,100.181,Tue 2015 Jul 07 11:49:35.29,5,3,0,1,0,0,NO,2,No the exception was thrown at line 280 because the minutesOffset passed to the method is < 0.,3,1,9gG8A-6g-1-55:601eI7I-3a-5-5-6,4,Professional_Developer,5,30,Male,University,United States,C#
152,427ag7A-4C57-9,HIT01_8,3,133.565,Fri 2015 Jul 10 12:40:20.92,4,2,0,1,0,0,NO,2,The statement in line 276 checks houroffset between -23 and 23.If the value exceeds that limit it will result only  in hour out of range exception.,3,1,1473AA6C1c-25-6,4,Professional_Developer,9,33,Female,University,india,PHP
156,411ae-5e1i-426,HIT01_8,3,115.06,Fri 2015 Jul 10 13:34:48.83,4,4,0,0,0,1,YES,2,there's time mentioned in negative which is out of range for language,3,1,1535eC4G4g-8-85:827Ca-4g2e-90-5,5,Professional_Developer,1,25,Male,University,India,JAVA
157,407II-7a-6A302,HIT01_8,3,37.12,Fri 2015 Jul 10 14:06:16.12,4,3,0,1,0,0,NO,2," if (minutesOffset < 0 || minutesOffset > 59) {              throw new IllegalArgumentException(""Minutes out of range: "" + minutesOffset);          }",3,1,1559gE-3I4e-4-52,4,Professional_Developer,7,32,Female,University,USA,C;C++;Java
160,395ag-2e4g-8-28,HIT01_8,3,97.47,Fri 2015 Jul 10 14:44:24.26,5,1,0,1,0,0,NO,2,The error message indicates that the failure occurs on line 280.,3,1,1592Eg1I-7A9-5-4,5,Professional_Developer,12,30,Male,High School;University;Web,United States,Java
163,427ag7A-4C57-9,HIT01_8,9,102.074,Tue 2015 Jul 07 09:11:35.25,5,5,0,1,0,0,NO,3,failure is before method invokation,1,1,139ga6a-3G761,5,Professional_Developer,4,25,Male,University,India,JAVA
165,431Ei4C0g-1-85,HIT01_8,9,78.616,Tue 2015 Jul 07 09:18:28.62,5,1,0,1,0,0,NO,3,The code will throw and exception on line 280 and it will never reach line 294. ,1,1,94CA2E-8e-485:14aa-9a8A-9-86,5,Professional_Developer,15,45,Male,High School;University;Web,USA,HTML; CSS
166,425cg-3C-4I8-7-1,HIT01_8,9,413.458,Tue 2015 Jul 07 09:26:18.90,5,1,0,1,0,0,NO,1,The problem is at line 279 which prevents a negative minutes value being accepted even though the programmer comments indicate that since version 2.3 negative minutes up to -59 are acceptable. The @throws IllegalArgumentException comment is also referring to versions before 2.3.,1,1,27Ei-8i0A-3-59:15cG-7i7C996,3,Professional_Developer,23,44,Male,High School;University,USA,RPG; Visual Basic
170,415ee-3c0E9-7-8,HIT01_8,9,280.719,Tue 2015 Jul 07 10:03:48.21,5,2,0,1,0,0,NO,3,I said no for this; but it's possible that if the exception was not thrown at line 280; it would be thrown in the method called (line 11 of forOffsetMillis). I don't know what the MAX_MILLIS constant is set to; so it's hard to say if it actually would.    But to answer the question; no; the failure here is occurring at line 280.,1,1,21Ig2A-5e0-88:292CE-5a2c86-4:60ei9e-5I04-3,4,Professional_Developer,12,27,Male,High School;University;Web,United States,C#; Python
174,403ac-2E6e-871,HIT01_8,9,91.977,Tue 2015 Jul 07 11:51:07.27,5,3,0,1,0,0,NO,3,No because the exception was thrown at line 280 because the minutesOffset passed to the method was < 0.,1,1,9gG8A-6g-1-55:601eI7I-3a-5-5-6,4,Professional_Developer,5,30,Male,University,United States,C#
177,397ee5C2C608,HIT01_8,9,396.449,Tue 2015 Jul 07 13:04:52.63,5,1,0,1,0,0,NO,1,"The exception thrown provides the message ""Minutes out of range:-15"". This specific message is thrown on line 280. The method invocation ""forOffsetMillis"" is unrelated to this exception.",1,1,815aA-9g-4e44-8:182Ae3g-6i-30-5,5,Professional_Developer,5,29,Male,University;Other On the job,USA,Python; SQL; Java
181,440gI-1G-6a8-3-5,HIT01_8,6,289.349,Tue 2015 Jul 07 08:41:49.58,5,2,0,1,0,0,NO,1,The issue occurs before this point in the code. The javadoc says it accepts negative minutes; but it's hard coded to throw the exception if minutesOffset is negative.,1,1,23EE-1c8E1-7-2:16eA-3g-9A-7-5-3,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
182,436eC-9E2e70-4,HIT01_8,6,222.082,Tue 2015 Jul 07 08:50:35.83,4,2,0,0,0,1,YES,1,In the comment in the source code it says that the minutes value must be in the range -59 to +59. However; in the code it throws an exception if the minutes value is less than 0. It should only throw an exception if the minutes value is less than -59; not less than 0.,1,1,270ie-2C-4c-550:97ai0I-8C871,5,Professional_Developer,20,25,Male,High School;University;Other as long as i can remember honestly,USA,c++
183,432CE0E-3e-7-31,HIT01_8,6,416.662,Tue 2015 Jul 07 09:05:23.72,5,3,0,0,0,1,YES,1,Illegal argument exception is thrown if the id is not recognised -02:15 is not recognised,1,1,519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4,5,Professional_Developer,4,29,Female,University,USA,java;c
184,420iI7G-9A-2-8-9,HIT01_8,6,368.5,Tue 2015 Jul 07 09:37:25.00,5,2,0,1,0,0,NO,1,No - it is working as it should; the offset should be a negative given the desired result.,1,1,94iC8I-7g2-6-9:176ac-2C-6e7-94,3,Professional_Developer,25,42,Male,High School;University;Web,United States of America,C#; C++
186,412Gg4C8a0-5-6,HIT01_8,6,73.235,Tue 2015 Jul 07 10:43:49.46,5,2,0,1,0,0,NO,1,This is an integer being defined as another integer multiplied by 60. This looks fine.,1,1,358ig-7C7C5-1-2:10EI0c-3A0-3-9,5,Professional_Developer,5,32,Male,University,USA,SQL
189,396eE-2g-7i-6-65,HIT01_8,6,306.352,Tue 2015 Jul 07 13:07:30.14,4,4,0,0,0,1,YES,1,"I""m guessing because the string is trying to sub string a Null value. But wouldn't the "".length() > 0"" part eliminate that issue?    No; calling itemdescription.length() when itemdescription is null would not generate a StringIndexOutOfBoundsException; but rather a NullPointerException since you would essentially be trying to call a method on null.    As others have indicated; StringIndexOutOfBoundsException indicates that itemdescription is not at least 38 characters long. You probably want to handle both conditions (I assuming you want to truncate):",1,1,892CA6a-8c802:759GA-8a-5a-285,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
191,392Gc2E-5I-8-70,HIT01_8,6,175.319,Tue 2015 Jul 07 14:03:10.54,5,1,0,1,0,0,NO,1,The highlighted segment has no relation to the error of the minutes being out of range.,1,1,307Cg-5C7a4-4-3:881AI5C9I3-85,4,Professional_Developer,4,22,Male,University,USA,Java; C++
201,440gI-1G-6a8-3-5,HIT01_8,2,65.404,Tue 2015 Jul 07 08:42:54.98,5,1,0,1,0,0,NO,2,The conditional checks if hours and minutes are 0.  This is not true; so the conditional does not come into play.,3,3,23EE-1c8E1-7-2:16eA-3g-9A-7-5-3,4,Professional_Developer,6,31,Female,University;Web,INDIA,PHP;MySQL
